Title,Rating,Reviews,Discount Price,Original Price,Off
E-Tachi B12,2.9,5.0,,2599.0,
E-Tachi B13,3.9,1.0,,2624.0,
E-Tachi Music E1000,2.2,,,3799.0,
E-Tachi E4i,2.4,,,4599.0,
E-Tachi E5310 Lite,4.2,,,3799.0,
E-Tachi E777,1.0,,,3899.0,
E-tachi B2 Lite,1.9,,,2949.0,
E-tachi Five Star,3.6,,,4249.0,
QMobile SL100 Power,3.5,3.0,,4299.0,
QMobile E400i,4.0,,,3599.0,
QMobile Music 400 Pro,1.0,2.0,,3777.0,
QMobile SL100 Big,4.8,4.0,,4299.0,
QMobile QHero,1.6,1.0,,3299.0,
QPhantom,2.5,,,4699.0,
Nokia 130,1.9,48.0,,5549.0,
Nokia 105 2022,1.5,99.0,,6199.0,
Nokia C31,2.0,35.0,,20399.0,
Nokia 3210,3.4,3.0,,12399.0,
Infinix Note 30,3.3,475.0,,41399.0,
Infinix Hot 40 Pro,4.1,145.0,,38999.0,
Oppo A38,3.1,27.0,,40999.0,
Oppo Reno 11F 5G,2.3,62.0,,78999.0,
Tecno Spark 10 Pro,3.4,468.0,,32999.0,
Tecno Spark 10,2.3,75.0,,23799.0,
Tecno Camon 30 Pro 5G,3.4,20.0,,93499.0,
Xiaomi Redmi 12,3.0,1003.0,,35999.0,
Xiaomi Poco C65,2.9,11.0,,35999.0,
Xiaomi 14 Ultra,1.7,,,369599.0,
Motorola Moto G54 5G,2.9,33.0,,43499.0,
Samsung Galaxy A34,2.0,131.0,,83499.0,
Samsung Galaxy Z Fold 5,2.7,3.0,,589399.0,
Apple iPhone 15 Plus,3.9,,,377100.0,
GFive G3310,4.3,2.0,,2749.0,
GFive Big Fighter,2.5,2.0,,2749.0,
GFive Fighter,4.1,2.0,,2899.0,
GFive Rock,1.8,,,2700.0,
GFive pro,4.6,9.0,,3199.0,
Digit Glory 1,2.7,25.0,,12799.0,
Digit 4G Power Max,2.6,4.0,,6500.0,
MeMobile Grace 10,3.5,,,29999.0,
Memobile XL300,2.3,1.0,,3499.0,
Dcode Cygnal 2 Pro,3.0,88.0,,16399.0,
Dcode Cygnal 3 Pro,4.0,85.0,,19899.0,
VGO TEL S20,2.2,9.0,,3899.0,
